"day","value"
2014-01-27,154.544045662
2014-01-28,154.654276793
2014-01-29,153.000809828
2014-01-30,152.890578697
2014-01-31,153.22127209
2014-02-01,153.551965483
2014-02-02,153.22127209
2014-02-03,154.213352269
2014-02-04,153.662196614
2014-02-05,152.890578697
2014-02-06,152.559885304
2014-02-07,152.11896078
2014-02-08,152.780347566
2014-02-09,153.22127209
2014-02-10,154.103121138
2014-02-11,153.662196614
2014-02-12,152.559885304
2014-02-13,153.441734352
2014-02-14,153.000809828
2014-02-15,153.992890007
2014-02-16,154.433814531
2014-02-17,153.882658876
2014-02-18,153.441734352
2014-02-19,153.441734352
2014-02-21,153.22127209
2014-02-22,154.764507924
2014-02-23,154.103121138
2014-02-24,155.646356972
2014-02-25,154.984970186
2014-02-26,155.42589471
2014-02-27,155.646356972
2014-02-28,155.536125841
2014-03-01,155.42589471
2014-03-02,155.095201317
2014-03-03,154.874739055
2014-03-05,153.441734352
2014-03-06,154.103121138
2014-03-07,153.551965483
2014-03-09,153.662196614
2014-03-10,153.441734352
2014-03-11,153.551965483
2014-03-12,152.229191911
2014-03-13,152.670116435
2014-03-14,152.339423042
2014-03-15,153.000809828
2014-03-16,153.111040959
2014-03-17,153.331503221
2014-03-18,153.882658876
2014-03-19,154.433814531
2014-03-20,154.213352269
2014-03-21,154.764507924
2014-03-22,155.205432448
2014-03-23,154.103121138
2014-03-24,153.882658876
2014-03-25,154.213352269
2014-03-26,153.551965483
2014-03-27,152.670116435
2014-03-28,153.22127209
2014-03-29,153.331503221
2014-03-30,153.111040959
2014-03-31,152.670116435
2014-04-01,151.678036256
2014-04-02,152.449654173
2014-04-03,152.449654173
2014-04-04,152.008729649
2014-04-05,151.347342863
2014-04-06,151.788267387
2014-04-07,151.788267387
2014-04-08,152.559885304
2014-04-09,152.890578697
2014-04-10,152.11896078
2014-04-11,152.008729649
2014-04-12,152.449654173
2014-04-13,151.788267387
2014-04-14,151.237111732
2014-04-15,151.678036256
2014-04-16,152.008729649
2014-04-17,151.567805125
2014-04-18,150.575724946
2014-04-19,150.685956077
2014-04-20,150.796187208
2014-04-21,151.678036256
2014-04-22,151.457573994
2014-04-24,151.347342863
2014-04-25,151.126880601
2014-04-26,150.355262684
2014-04-27,151.237111732
2014-04-28,151.678036256
2014-04-29,151.237111732
2014-04-30,152.229191911
2014-05-01,150.685956077
2014-05-03,151.347342863
2014-05-04,151.126880601
2014-05-05,150.355262684
2014-05-06,152.11896078
2014-05-07,151.678036256
2014-05-08,151.678036256
2014-05-09,151.126880601
2014-05-10,151.126880601
2014-05-11,151.01664947
2014-05-12,150.355262684
2014-05-13,150.906418339
2014-05-14,149.804107029
2014-05-15,149.583644767
2014-05-16,149.142720243
2014-05-17,149.363182505
2014-05-18,149.363182505
2014-05-19,150.134800422
2014-05-20,149.032489112
2014-05-21,149.583644767
2014-05-22,149.583644767
2014-05-23,149.91433816
2014-05-24,148.81202685
2014-05-25,149.583644767
2014-05-26,149.804107029
2014-05-27,149.032489112
2014-05-28,150.134800422
2014-05-29,149.142720243
2014-05-30,150.024569291
2014-05-31,149.473413636
2014-06-01,149.91433816
