"day","value"
2014-08-16,11393
2014-08-17,13690
2014-08-18,8853
2014-08-19,6297
2014-08-20,3620
2014-08-21,6567
2014-08-22,2515
2014-08-23,3952
2014-08-24,6496
2014-08-25,6924
2014-08-26,6454
2014-08-27,6673
2014-08-28,6403
2014-08-29,7076
2014-08-30,11125
2014-08-31,5448
2014-09-01,9620
2014-09-02,5545
2014-09-03,2559
2014-09-04,5164
2014-09-05,3945
2014-09-06,1800
2014-09-07,2677
2014-09-08,5218
2014-09-09,6920
2014-09-10,6515
2014-09-11,5384
2014-09-12,6045
2014-09-13,8919
2014-09-14,4602
2014-09-15,8484
2014-09-16,5716
2014-09-17,10235
2014-09-18,6485
2014-09-19,7389
2014-09-20,5901
2014-09-21,4667
2014-09-22,4882
2014-09-23,4531
2014-09-24,6282
2014-09-25,6899
2014-09-26,5564
2014-09-27,3913
2014-09-28,5848
2014-09-29,9363
2014-09-30,6760
2014-10-01,5665
2014-10-02,8372
2014-10-03,5846
2014-10-04,4382
2014-10-05,6888
2014-10-06,7653
2014-10-07,8058
2014-10-08,7467
2014-10-09,7614
2014-10-10,8307
2014-10-11,6230
2014-10-12,7582
2014-10-13,7798
2014-10-14,7632
2014-10-15,8498
2014-10-16,21779
2014-10-17,14651
2014-10-18,12726
2014-10-19,13014
2014-10-20,22919
2014-10-21,16757
2014-10-22,11449
2014-10-23,6854
2014-10-24,9642
2014-10-25,9765
2014-10-26,11648
2014-10-27,4708
2014-10-28,6795
2014-10-29,5972
2014-10-30,8504
2014-10-31,5280
2014-11-01,8363
2014-11-02,7244
2014-11-03,9658
2014-11-04,7813
2014-11-05,4263
2014-11-06,3069
2014-11-07,8061
2014-11-08,8049
2014-11-09,9084
2014-11-10,7504
2014-11-11,4348
2014-11-12,8046
2014-11-13,7722
2014-11-14,5100
2014-11-15,7721
2014-11-16,7854
2014-11-17,6380
2014-11-18,7749
2014-11-19,8042
2014-11-20,4293
2014-11-21,5966
2014-11-22,8362
2014-11-23,3725
2014-11-24,8286
2014-11-25,6708
2014-11-26,3694
2014-11-27,9512
2014-11-28,8140
2014-11-29,2679
2014-11-30,1168
2014-12-02,9201
2014-12-03,4903
2014-12-04,6635
2014-12-05,4704
2014-12-06,4861
2014-12-07,5552
2014-12-08,5595
2014-12-09,6386
2014-12-10,4919
2014-12-11,6423
2014-12-12,7338
2014-12-13,4772
2014-12-14,10548
2014-12-15,5730
2014-12-16,5086
2014-12-17,4745
2014-12-18,2164
2014-12-19,1778
2014-12-20,4430
2014-12-21,5278
2014-12-22,5629
2014-12-23,8046
2014-12-24,5854
2014-12-25,3484
2014-12-26,6765
2014-12-27,7908
2014-12-28,10508
2014-12-29,19685
2014-12-30,12484
2014-12-31,14702
2015-01-01,17188
2015-01-02,18311
2015-01-03,9643
2015-01-04,7674
2015-01-05,4129
2015-01-06,3458
2015-01-07,2883
2015-01-08,3184
2015-01-09,3472
2015-01-10,3672
2015-01-11,4718
2015-01-12,3588
2015-01-13,4283
2015-01-14,5832
2015-01-15,4932
2015-01-16,5321
2015-01-17,4804
2015-01-18,4393
2015-01-19,8531
2015-01-20,8426
2015-01-21,6244
2015-01-22,5264
2015-01-23,2804
2015-01-24,6821
2015-01-25,378
2015-01-26,6359
2015-01-27,5471
2015-01-28,7125
2015-01-29,5993
2015-01-30,7648
2015-01-31,4662
2015-02-01,5845
2015-02-02,11168
2015-02-03,7919
2015-02-04,4532
2015-02-05,8584
2015-02-06,7486
2015-02-07,7083
2015-02-08,5213
2015-02-09,5823
2015-02-10,5510
2015-02-11,5353
2015-02-12,8521
2015-02-13,7772
2015-02-14,7555
2015-02-15,5204
2015-02-16,2734
2015-02-17,8046
2015-02-18,7540
2015-02-19,7268
2015-02-20,11700
2015-02-21,7112
2015-02-22,4317
2015-02-23,6079
2015-02-24,7527
2015-02-25,6943
2015-02-26,7535
2015-02-27,4072
2015-02-28,5376
2015-03-01,3354
2015-03-02,9266
2015-03-03,8574
2015-03-04,11889
2015-03-05,4859
2015-03-06,7440
2015-03-07,7677
2015-03-08,9598
2015-03-09,8009
2015-03-10,7784
2015-03-11,9712
2015-03-12,7455
2015-03-13,7803
2015-03-14,7873
2015-03-15,8427
2015-03-16,8047
2015-03-17,8041
2015-03-18,3740
2015-03-19,7729
2015-03-20,8080
2015-03-21,5268
2015-03-22,3211
2015-03-23,7593
2015-03-24,5259
2015-03-25,4106
2015-03-26,3079
2015-03-27,4260
2015-03-28,4374
2015-03-29,3823
2015-03-30,3456
2015-03-31,5709
2015-04-02,7906
2015-04-03,10124
2015-04-04,10170
2015-04-05,6848
2015-04-06,9332
2015-04-07,8400
2015-04-08,4555
2015-04-09,7371
2015-04-10,7885
2015-04-11,13778
2015-04-12,14438
2015-04-13,6984
2015-04-14,11218
2015-04-15,4796
2015-04-16,11724
2015-04-17,9456
2015-04-18,9354
2015-04-19,5115
2015-04-20,5699
2015-04-21,4964
2015-04-22,4797
2015-04-23,5483
2015-04-24,7376
2015-04-25,2135
2015-04-26,8047
2015-04-27,5296
2015-04-28,8643
2015-04-29,8193
2015-04-30,10901
2015-05-01,11656
2015-05-02,9297
2015-05-03,6141
2015-05-04,8141
2015-05-05,6375
2015-05-06,10180
2015-05-07,11862
2015-05-08,8210
2015-05-09,6555
2015-05-10,9472
2015-05-11,11177
2015-05-12,11196
2015-05-13,7026
2015-05-14,8309
2015-05-15,4148
2015-05-16,10125
2015-05-17,9714
2015-05-18,8867
2015-05-19,6143
2015-05-20,6903
2015-05-21,5681
2015-05-22,8978
2015-05-23,6467
2015-05-24,9014
2015-05-25,10044
2015-05-26,6360
2015-05-27,6465
2015-05-28,6491
2015-05-29,6948
2015-05-30,5421
2015-05-31,5166
2015-06-01,10166
2015-06-02,5850
2015-06-03,5989
2015-06-04,6573
2015-06-05,6560
2015-06-06,8387
2015-06-07,5505
2015-06-08,10967
2015-06-09,8443
2015-06-10,5979
2015-06-12,311
2015-06-13,5728
2015-06-14,7737
2015-06-15,6116
2015-06-16,5539
2015-06-17,3486
2015-06-19,4877
2015-06-20,5256
2015-06-21,10806
2015-06-22,9187
2015-06-23,7331
2015-06-24,5997
2015-06-25,4608
2015-06-26,7214
2015-06-27,4028
2015-06-28,5158
2015-06-29,12165
2015-06-30,4934
2015-07-01,7656
2015-07-02,8381
2015-07-03,6964
2015-07-04,7472
2015-07-05,6619
2015-07-06,7121
2015-07-07,6276
2015-07-08,4911
2015-07-09,6507
2015-07-10,7301
2015-07-11,6570
2015-07-12,5663
2015-07-13,3537
2015-07-14,9575
2015-07-15,7103
2015-07-16,10257
2015-07-17,4873
2015-07-18,8008
2015-07-19,3609
2015-07-21,2875
2015-07-22,8381
2015-07-23,7883
2015-07-24,8057
2015-07-25,7532
2015-07-26,10506
2015-07-29,1629
2015-07-30,2355
2015-07-31,4789
2015-08-01,5061
2015-08-02,4725
2015-08-03,7145
2015-08-04,9745
2015-08-05,11455
2015-08-06,3281
2015-08-07,7067
2015-08-08,6440
2015-08-09,5481
2015-08-10,6078
2015-08-11,7931
2015-08-12,12466
2015-08-13,5728
2015-08-14,7032
2015-08-15,6897
2015-08-16,8816
2015-08-17,8902
2015-08-18,11736
2015-08-19,4269
2015-08-20,5756
2015-08-21,5868
2015-08-22,6979
2015-08-23,12749
2015-08-24,11810
2015-08-25,10178
2015-08-26,10332
2015-08-27,4882
2015-08-28,12484
2015-08-29,4336
2015-08-30,5398
2015-08-31,10199
2015-09-01,7749
2015-09-02,7450
2015-09-03,6878
2015-09-04,8571
2015-09-05,7866
2015-09-06,5794
2015-09-07,9030
2015-09-08,6479
2015-09-09,7129
2015-09-10,7078
2015-09-11,8837
2015-09-14,378
2015-09-15,7816
2015-09-16,8414
2015-09-17,6862
2015-09-18,8035
2015-09-19,10220
2015-09-20,4237
2015-09-21,8330
2015-09-22,8082
2015-09-23,7365
2015-09-24,8074
2015-09-25,7316
2015-09-26,7714
2015-09-27,11223
2015-09-28,7571
2015-09-29,7251
2015-09-30,9297
2015-10-01,8060
2015-10-02,7289
2015-10-03,7046
2015-10-04,13137
2015-10-05,7980
2015-10-06,9442
2015-10-07,7187
2015-10-08,7095
2015-10-09,9040
2015-10-10,8463
2015-10-11,3445
2015-10-12,10861
2015-10-13,5587
2015-10-14,9160
2015-10-15,8605
2015-10-16,5057
2015-10-17,6985
