,Date,Weight,Steps
346,2013-07-12,161.81930030799998,5934
347,2013-07-13,159.83513995,3582
348,2013-07-14,160.82722012899998,7591
349,2013-07-15,160.165833343,5090
350,2013-07-16,160.386295605,5122
351,2013-07-17,159.39421542600002,6421
352,2013-07-18,160.386295605,5068
353,2013-07-19,160.386295605,6081
354,2013-07-20,160.165833343,6166
355,2013-07-21,160.716988998,8022
356,2013-07-22,160.82722012899998,6357
357,2013-07-23,159.83513995,7654
358,2013-07-24,159.945371081,8375
359,2013-07-25,160.386295605,6894
360,2013-07-26,160.496526736,3809
361,2013-07-27,160.165833343,4152
362,2013-07-28,160.606757867,6320
363,2013-07-29,159.945371081,6809
364,2013-07-30,159.724908819,6344
365,2013-07-31,160.165833343,6563
366,2013-08-01,159.724908819,9191
367,2013-08-02,158.181672985,8403
368,2013-08-03,158.84305977100001,5646
369,2013-08-04,158.84305977100001,9783
370,2013-08-05,159.283984295,4741
371,2013-08-06,159.173753164,7997
372,2013-08-07,158.95329090200002,6120
373,2013-08-08,158.512366378,4962
374,2013-08-09,157.740748461,7402
375,2013-08-10,157.410055068,6725
376,2013-08-11,158.291904116,7185
377,2013-08-12,157.85097959200002,8028
378,2013-08-13,157.079361675,6041
379,2013-08-14,156.858899413,6555
380,2013-08-15,157.740748461,7178
381,2013-08-16,157.520286199,8623
382,2013-08-17,157.189592806,6497
383,2013-08-18,158.512366378,4989
384,2013-08-19,159.39421542600002,8334
385,2013-08-20,159.283984295,5945
386,2013-08-21,158.622597509,5969
387,2013-08-22,157.740748461,5052
388,2013-08-23,157.85097959200002,7117
389,2013-08-24,158.291904116,5855
390,2013-08-25,157.189592806,6807
391,2013-08-26,157.520286199,6810
392,2013-08-27,156.087281496,5635
393,2013-08-28,156.197512627,6547
394,2013-08-29,156.969130544,5010
395,2013-08-30,157.189592806,5136
396,2013-08-31,158.40213524700002,4286
397,2013-09-01,159.173753164,5078
398,2013-09-02,157.740748461,6557
399,2013-09-03,157.520286199,5624
400,2013-09-04,157.520286199,5894
401,2013-09-05,157.63051733,5245
402,2013-09-06,157.740748461,5461
403,2013-09-07,157.520286199,5550
404,2013-09-08,157.410055068,6029
405,2013-09-09,157.299823937,6495
406,2013-09-10,157.410055068,6222
407,2013-09-11,157.961210723,5368
408,2013-09-12,156.417974889,8538
409,2013-09-13,156.197512627,7604
410,2013-09-14,157.079361675,6009
411,2013-09-15,157.189592806,6784
412,2013-09-16,156.638437151,6798
413,2013-09-17,156.52820602,7505
414,2013-09-18,156.748668282,7053
415,2013-09-19,156.748668282,5553
416,2013-09-20,156.52820602,5987
417,2013-09-21,156.52820602,4678
418,2013-09-22,156.417974889,4557
419,2013-09-23,156.638437151,6062
420,2013-09-24,157.189592806,4401
421,2013-09-25,157.189592806,5943
422,2013-09-26,157.410055068,7153
423,2013-09-27,157.299823937,6807
424,2013-09-28,156.748668282,6767
425,2013-09-29,156.197512627,6762
426,2013-09-30,157.299823937,16680
427,2013-10-06,158.84305977100001,6990
428,2013-10-07,156.969130544,5139
429,2013-10-08,156.638437151,5164
430,2013-10-09,155.646356972,5227
431,2013-10-10,156.858899413,6214
